ensg	entrez	symbol
ENSG00000049245	9341	VAMP3
ENSG00000049246	8863	PER3
ENSG00000049247	10911	UTS2
ENSG00000059728	4084	MXD1
ENSG00000062485	1431	CS
ENSG00000064601	5476	CTSA
ENSG00000064763	55711	FAR2
ENSG00000065308	9697	TRAM2
ENSG00000065485	10954	PDIA5
ENSG00000074201	1207	CLNS1A
ENSG00000083312	3842	TNPO1
ENSG00000084092	84273	NOA1
ENSG00000087502	51290	ERGIC2
ENSG00000087884	28971	AAMDC
ENSG00000088179	5775	PTPN4
ENSG00000088992	54997	TESC
ENSG00000096093	114327	EFHC1
ENSG00000100266	11252	PACSIN2
ENSG00000101160	1522	CTSZ
ENSG00000101166	51012	SLMO2
ENSG00000101473	10005	ACOT8
ENSG00000104936	1760	DMPK
ENSG00000105538	54922	RASIP1
ENSG00000108262	28964	GIT1
ENSG00000108576	6532	SLC6A4
ENSG00000108578	642	BLMH
ENSG00000108582	1362	CPD
ENSG00000108587	9527	GOSR1
ENSG00000110080	6484	ST3GAL4
ENSG00000110801	5715	PSMD9
ENSG00000110934	51411	BIN2
ENSG00000110987	605	BCL7A
ENSG00000111011	65117	RSRC2
ENSG00000112078	222658	KCTD20
ENSG00000112079	11329	STK38
ENSG00000115109	57669	EPB41L5
ENSG00000115310	57142	RTN4
ENSG00000116285	54206	ERRFI1
ENSG00000117523	23215	PRRC2C
ENSG00000117533	8674	VAMP4
ENSG00000121236	117854	TRIM6
ENSG00000124172	514	ATP5E
ENSG00000124380	11017	SNRNP27
ENSG00000126231	8858	PROZ
ENSG00000126777	3895	KTN1
ENSG00000130956	22927	HABP4
ENSG00000132801	140831	ZSWIM3
ENSG00000134508	91768	CABLES1
ENSG00000135473	9924	PAN2
ENSG00000135845	5279	PIGC
ENSG00000136141	23143	LRCH1
ENSG00000138835	5998	RGS3
ENSG00000139540	283375	SLC39A5
ENSG00000139610	1990	CELA1
ENSG00000139645	283373	ANKRD52
ENSG00000139718	23067	SETD1B
ENSG00000139719	65082	VPS33A
ENSG00000139842	8451	CUL4A
ENSG00000141298	85464	SSH2
ENSG00000142657	5226	PGD
ENSG00000144785	NA	RP11-977G19.10
ENSG00000148426	254427	PROSER2
ENSG00000149262	92105	INTS4
ENSG00000149634	128497	SPATA25
ENSG00000153064	55024	BANK1
ENSG00000153294	221393	GPR115
ENSG00000153310	51571	FAM49B
ENSG00000153317	50807	ASAP1
ENSG00000157107	115548	FCHO2
ENSG00000158023	144406	WDR66
ENSG00000158104	3242	HPD
ENSG00000158113	254050	LRRC43
ENSG00000158428	375307	C2orf62
ENSG00000160145	8997	KALRN
ENSG00000163681	7871	SLMAP
ENSG00000163684	11102	RPP14
ENSG00000163687	1776	DNASE1L3
ENSG00000164393	222611	GPR111
ENSG00000166886	4665	NAB2
ENSG00000166913	7529	YWHAB
ENSG00000167543	90313	TP53I13
ENSG00000167549	84940	CORO6
ENSG00000168175	93487	MAPK1IP1L
ENSG00000168612	90204	ZSWIM1
ENSG00000169504	25932	CLIC4
ENSG00000170581	6773	STAT2
ENSG00000170915	85315	PAQR8
ENSG00000174839	201627	DENND6A
ENSG00000174840	201626	PDE12
ENSG00000174844	201625	DNAH12
ENSG00000174951	2523	FUT1
ENSG00000175727	22877	MLXIP
ENSG00000176909	284358	MAMSTR
ENSG00000176920	2524	FUT2
ENSG00000176927	374786	EFCAB5
ENSG00000177963	60626	RIC8A
ENSG00000178209	5339	PLEC
ENSG00000178685	84875	PARP10
ENSG00000178719	2907	GRINA
ENSG00000179165	222659	PXT1
ENSG00000180999	92346	C1orf105
ENSG00000183283	9802	DAZAP2
ENSG00000184271	5463	POU6F1
ENSG00000184445	9735	KNTC1
ENSG00000185052	57419	SLC24A3
ENSG00000187672	26059	ERC2
ENSG00000188672	6006	RHCE
ENSG00000189319	9679	FAM53B
ENSG00000196975	307	ANXA4
ENSG00000197959	26052	DNM3
ENSG00000198720	124930	ANKRD13B
ENSG00000204178	55219	TMEM57
ENSG00000214595	400954	EML6
ENSG00000237353	399968	PATE4
ENSG00000237452	388553	AC074212.3
ENSG00000240065	5698	PSMB9
ENSG00000242247	26286	ARFGAP3
ENSG00000255154	109703458	RPP14
ENSG00000256861	NA	RP11-512M8.5
ENSG00000256950	NA	RP11-87C12.2
ENSG00000258539	NA	RP11-12J10.3
ENSG00000258588	445372	TRIM6-TRIM34
ENSG00000266733	26083	TBC1D29
ENSG00000007541	9091	PIGQ
ENSG00000008405	1407	CRY1
ENSG00000010379	6540	SLC6A13
ENSG00000019144	23187	PHLDB1
ENSG00000027075	5583	PRKCH
ENSG00000032742	8100	IFT88
ENSG00000037042	27175	TUBG2
ENSG00000042317	55812	SPATA7
ENSG00000049449	5954	RCN1
ENSG00000054654	23224	SYNE2
ENSG00000055130	8454	CUL1
ENSG00000059691	5188	PET112
ENSG00000060491	11054	OGFR
ENSG00000064419	23534	TNPO3
ENSG00000065609	9892	SNAP91
ENSG00000066248	25791	NGEF
ENSG00000066651	60487	TRMT11
ENSG00000068878	23198	PSME4
ENSG00000069667	6095	RORA
ENSG00000075151	8672	EIF4G3
ENSG00000075292	27332	ZNF638
ENSG00000077348	56915	EXOSC5
ENSG00000077514	10714	POLD3
ENSG00000077935	27127	SMC1B
ENSG00000078177	55728	N4BP2
ENSG00000081014	23431	AP4E1
ENSG00000083520	22894	DIS3
ENSG00000084636	1307	COL16A1
ENSG00000084674	338	APOB
ENSG00000084676	8648	NCOA1
ENSG00000086544	80271	ITPKC
ENSG00000087206	51720	UIMC1
ENSG00000087303	22795	NID2
ENSG00000087494	5744	PTHLH
ENSG00000088387	23348	DOCK9
ENSG00000088930	22803	XRN2
ENSG00000090006	8425	LTBP4
ENSG00000090263	51650	MRPS33
ENSG00000095752	3589	IL11
ENSG00000100324	10454	TAB1
ENSG00000100346	8911	CACNA1I
ENSG00000100592	23002	DAAM1
ENSG00000101193	54994	GID8
ENSG00000101445	26051	PPP1R16B
ENSG00000101489	56853	CELF4
ENSG00000101670	9388	LIPG
ENSG00000102554	688	KLF5
ENSG00000102967	1723	DHODH
ENSG00000103460	27324	TOX3
ENSG00000104375	6788	STK3
ENSG00000104853	1209	CLPTM1
ENSG00000104856	5971	RELB
ENSG00000105245	9253	NUMBL
ENSG00000105341	55101	ATP5SL
ENSG00000106460	54664	TMEM106B
ENSG00000106633	2645	GCK
ENSG00000106635	9275	BCL7B
ENSG00000106976	1759	DNM1
ENSG00000107679	59338	PLEKHA1
ENSG00000107902	64077	LHPP
ENSG00000108424	3837	KPNB1
ENSG00000108786	3292	HSD17B1
ENSG00000108788	6945	MLX
ENSG00000108797	8506	CNTNAP1
ENSG00000109684	116449	CLNK
ENSG00000109756	9693	RAPGEF2
ENSG00000109919	23788	MTCH2
ENSG00000110031	9404	LPXN
ENSG00000110367	1656	DDX6
ENSG00000110888	65981	CAPRIN2
ENSG00000111911	135114	HINT3
ENSG00000112053	116369	SLC26A8
ENSG00000112319	2070	EYA4
ENSG00000112335	8724	SNX3
ENSG00000112941	11044	PAPD7
ENSG00000113073	83697	SLC4A9
ENSG00000113318	4437	MSH3
ENSG00000113319	5924	RASGRF2
ENSG00000113368	4001	LMNB1
ENSG00000113600	735	C9
ENSG00000113761	23567	ZNF346
ENSG00000115306	6711	SPTBN1
ENSG00000115474	3769	KCNJ13
ENSG00000116117	117583	PARD3B
ENSG00000116288	11315	PARK7
ENSG00000116497	64766	S100PBP
ENSG00000117298	1889	ECE1
ENSG00000118557	83449	PMFBP1
ENSG00000118640	8673	VAMP8
ENSG00000118855	64747	MFSD1
ENSG00000118961	60526	C2orf43
ENSG00000118971	894	CCND2
ENSG00000119487	79109	MAPKAP1
ENSG00000119638	91754	NEK9
ENSG00000119640	97	ACYP1
ENSG00000119699	7043	TGFB3
ENSG00000119703	79696	ZC2HC1C
ENSG00000119729	23433	RHOQ
ENSG00000119820	84272	YIPF4
ENSG00000120129	1843	DUSP1
ENSG00000121764	3061	HCRTR1
ENSG00000121897	11019	LIAS
ENSG00000121904	114784	CSMD2
ENSG00000122033	219402	MTIF3
ENSG00000122034	2971	GTF3A
ENSG00000122585	4852	NPY
ENSG00000123080	1031	CDKN2C
ENSG00000123500	1300	COL10A1
ENSG00000123810	80776	B9D2
ENSG00000123815	79934	ADCK4
ENSG00000124074	84080	ENKD1
ENSG00000124177	84181	CHD6
ENSG00000124201	57169	ZNFX1
ENSG00000124207	1434	CSE1L
ENSG00000124228	55661	DDX27
ENSG00000124783	6745	SSR1
ENSG00000125834	140901	STK35
ENSG00000126453	83596	BCL2L12
ENSG00000126456	3661	IRF3
ENSG00000126461	58506	SCAF1
ENSG00000126522	435	ASL
ENSG00000126860	2123	EVI2A
ENSG00000127418	53834	FGFRL1
ENSG00000127483	50809	HP1BP3
ENSG00000127578	117166	WFIKKN1
ENSG00000127585	146330	FBXL16
ENSG00000127914	10142	AKAP9
ENSG00000127928	2792	GNGT1
ENSG00000128268	4248	MGAT3
ENSG00000128573	93986	FOXP2
ENSG00000128655	50940	PDE11A
ENSG00000129083	1315	COPB1
ENSG00000129084	5682	PSMA1
ENSG00000130164	3949	LDLR
ENSG00000130779	6249	CLIP1
ENSG00000131242	84440	RAB11FIP4
ENSG00000131462	7283	TUBG1
ENSG00000131470	29893	PSMC3IP
ENSG00000133246	84106	PRAM1
ENSG00000133401	23037	PDZD2
ENSG00000133884	5977	DPF2
ENSG00000134222	84722	PSRC1
ENSG00000134533	85004	RERG
ENSG00000134644	9698	PUM1
ENSG00000134909	9743	ARHGAP32
ENSG00000134962	152831	KLB
ENSG00000134982	324	APC
ENSG00000135506	10956	OS9
ENSG00000135537	246269	LACE1
ENSG00000135902	1144	CHRND
ENSG00000135925	80326	WNT10A
ENSG00000136045	11137	PWP1
ENSG00000136205	64759	TNS3
ENSG00000136868	1317	SLC31A1
ENSG00000137075	152006	RNF38
ENSG00000137474	4647	MYO7A
ENSG00000138075	64240	ABCG5
ENSG00000138078	9581	PREPL
ENSG00000138079	6519	SLC3A1
ENSG00000138161	50624	CUZD1
ENSG00000138443	10152	ABI2
ENSG00000138600	84888	SPPL2A
ENSG00000138629	84993	UBL7
ENSG00000138653	64579	NDST4
ENSG00000138813	84103	C4orf17
ENSG00000139209	55089	SLC38A4
ENSG00000139970	6252	RTN1
ENSG00000140009	2100	ESR2
ENSG00000140365	54939	COMMD4
ENSG00000140374	2108	ETFA
ENSG00000140398	79661	NEIL1
ENSG00000140400	4123	MAN2C1
ENSG00000140521	5428	POLG
ENSG00000140522	6017	RLBP1
ENSG00000140525	55215	FANCI
ENSG00000140526	11057	ABHD2
ENSG00000140807	85407	NKD1
ENSG00000140830	54957	TXNL4B
ENSG00000140937	1009	CDH11
ENSG00000141096	64180	DPEP3
ENSG00000141279	9520	NPEPPS
ENSG00000141655	8792	TNFRSF11A
ENSG00000141905	4782	NFIC
ENSG00000142046	641649	TMEM91
ENSG00000142347	4542	MYO1F
ENSG00000142444	90580	C19orf52
ENSG00000143126	1952	CELSR2
ENSG00000143401	81611	ANP32E
ENSG00000143771	29097	CNIH4
ENSG00000143786	149111	CNIH3
ENSG00000144451	79582	SPAG16
ENSG00000144579	58190	CTDSP1
ENSG00000144619	152330	CNTN4
ENSG00000144642	27303	RBMS3
ENSG00000145248	201780	SLC10A4
ENSG00000145331	93587	TRMT10A
ENSG00000146416	51390	AIG1
ENSG00000146729	2631	GBAS
ENSG00000146731	908	CCT6A
ENSG00000146733	5723	PSPH
ENSG00000148584	29974	A1CF
ENSG00000149948	8091	HMGA2
ENSG00000150967	23457	ABCB9
ENSG00000150995	3708	ITPR1
ENSG00000151208	9231	DLG5
ENSG00000151413	80224	NUBPL
ENSG00000152270	5140	PDE3B
ENSG00000153071	1601	DAB2
ENSG00000154240	201134	CEP112
ENSG00000154928	2047	EPHB1
ENSG00000156113	3778	KCNMA1
ENSG00000156265	56911	MAP3K7CL
ENSG00000156966	93010	B3GNT7
ENSG00000157064	23057	NMNAT2
ENSG00000157168	3084	NRG1
ENSG00000157368	146433	IL34
ENSG00000157657	114991	ZNF618
ENSG00000158715	85414	SLC45A3
ENSG00000159788	6002	RGS12
ENSG00000160360	26086	GPSM1
ENSG00000160883	3101	HK3
ENSG00000161692	80174	DBF4B
ENSG00000161888	147841	SPC24
ENSG00000162517	553115	PEF1
ENSG00000162552	54361	WNT4
ENSG00000163257	54876	DCAF16
ENSG00000163283	250	ALPP
ENSG00000163286	251	ALPPL2
ENSG00000163605	151987	PPP4R2
ENSG00000163950	7884	SLBP
ENSG00000164483	154075	SAMD3
ENSG00000165244	195828	ZNF367
ENSG00000165449	220963	SLC16A9
ENSG00000165609	11164	NUDT5
ENSG00000165699	7248	TSC1
ENSG00000165804	51222	ZNF219
ENSG00000166439	254225	RNF169
ENSG00000166478	7702	ZNF143
ENSG00000166788	113174	SAAL1
ENSG00000166793	219539	YPEL4
ENSG00000166971	64400	AKTIP
ENSG00000167173	56905	C15orf39
ENSG00000168374	378	ARF4
ENSG00000168646	8313	AXIN2
ENSG00000169032	5604	MAP2K1
ENSG00000169375	25942	SIN3A
ENSG00000169410	5780	PTPN9
ENSG00000169609	123207	C15orf40
ENSG00000169902	8460	TPST1
ENSG00000170236	373509	USP50
ENSG00000170348	10972	TMED10
ENSG00000170509	345275	HSD17B13
ENSG00000172071	9451	EIF2AK3
ENSG00000172362	390191	OR5B12
ENSG00000172409	10978	CLP1
ENSG00000172568	408263	FNDC9
ENSG00000172640	121275	OR10AD1
ENSG00000173166	65059	RAPH1
ENSG00000173914	83759	RBM4B
ENSG00000174099	253827	MSRB3
ENSG00000174165	254359	ZDHHC24
ENSG00000174282	57659	ZBTB4
ENSG00000174332	148979	GLIS1
ENSG00000174444	6124	RPL4
ENSG00000174469	26047	CNTNAP2
ENSG00000174483	582	BBS1
ENSG00000174516	246330	PELI3
ENSG00000175213	79797	ZNF408
ENSG00000175279	378708	APITD1
ENSG00000175354	5771	PTPN2
ENSG00000175920	285489	DOK7
ENSG00000176472	284346	ZNF575
ENSG00000176531	653583	PHLDB3
ENSG00000177191	374907	B3GNT8
ENSG00000177694	254827	NAALADL2
ENSG00000177971	55272	IMP3
ENSG00000178425	221294	NT5DC1
ENSG00000178971	80169	CTC1
ENSG00000179029	84314	TMEM107
ENSG00000179242	1002	CDH4
ENSG00000179361	10620	ARID3B
ENSG00000181355	266553	OFCC1
ENSG00000182600	389084	C2orf82
ENSG00000182810	55794	DDX28
ENSG00000183098	10082	GPC6
ENSG00000183230	29119	CTNNA3
ENSG00000184005	256435	ST6GALNAC3
ENSG00000184500	5627	PROS1
ENSG00000185090	149175	MANEAL
ENSG00000185104	11124	FAF1
ENSG00000185862	2124	EVI2B
ENSG00000186660	80829	ZFP91
ENSG00000187079	7003	TEAD1
ENSG00000188938	158293	FAM120AOS
ENSG00000196482	2104	ESRRG
ENSG00000196557	8912	CACNA1H
ENSG00000196666	399888	FAM180B
ENSG00000197050	147923	ZNF420
ENSG00000197081	3482	IGF2R
ENSG00000197301	100129940	RP11-366L20.2
ENSG00000198055	2870	GRK6
ENSG00000198556	285989	ZNF789
ENSG00000198625	4194	MDM4
ENSG00000198795	25925	ZNF521
ENSG00000198900	7150	TOP1
ENSG00000204120	26058	GIGYF2
ENSG00000204228	7923	HSD17B8
ENSG00000205339	10527	IPO7
ENSG00000213185	196792	FAM24B
ENSG00000213523	10011	SRA1
ENSG00000213619	4722	NDUFS3
ENSG00000219545	729852	RPA3-AS1
ENSG00000222005	388948	LINC01118
ENSG00000224186	100996485	C5orf66
ENSG00000224916	100533990	APOC4-APOC2
ENSG00000226321	728763	AC104809.3
ENSG00000234906	344	APOC2
ENSG00000237412	646960	PRSS56
ENSG00000240720	401387	LRRD1
ENSG00000241258	27297	CRCP
ENSG00000243335	154881	KCTD7
ENSG00000243667	116143	WDR92
ENSG00000248098	593	BCKDHA
ENSG00000248713	285556	RP11-766F14.2
ENSG00000249319	NA	AC068533.7
ENSG00000250565	90423	ATP6V1E2
ENSG00000251503	100526739	APITD1-CORT
ENSG00000254986	10072	DPP3
ENSG00000255073	386607	ZFP91-CNTF
ENSG00000255730	NA	CTC-435M10.3
ENSG00000256349	NA	CTD-3074O7.11
ENSG00000257017	3240	HP
ENSG00000259207	3690	ITGB3
ENSG00000259753	3690	ITGB3
ENSG00000260456	100506581	C16orf95
ENSG00000261701	3250	HPR
ENSG00000263620	NA	RP11-599B13.6
ENSG00000265118	NA	CTD-2370N5.3
ENSG00000266076	NA	CTD-2535L24.2
ENSG00000267114	NA	CTB-129P6.11
ENSG00000267360	NA	CTC-454I21.3
ENSG00000267467	346	APOC4
ENSG00000267795	440335	SMIM22
ENSG00000267796	55957	LIN37
ENSG00000269514	NA	DKFZP779L1853
ENSG00000007372	5080	PAX6
ENSG00000008196	7021	TFAP2B
ENSG00000009307	7812	CSDE1
ENSG00000009724	10747	MASP2
ENSG00000010310	2696	GIPR
ENSG00000010318	51533	PHF7
ENSG00000011114	55727	BTBD7
ENSG00000028116	7444	VRK2
ENSG00000035681	8439	NSMAF
ENSG00000049167	1161	ERCC8
ENSG00000049618	57492	ARID1B
ENSG00000050820	9564	BCAR1
ENSG00000052344	5652	PRSS8
ENSG00000058866	1608	DGKG
ENSG00000064547	9170	LPAR2
ENSG00000064651	6558	SLC12A2
ENSG00000066855	9650	MTFR1
ENSG00000068028	11186	RASSF1
ENSG00000068781	286749	STON1-GTF2A1L
ENSG00000070366	23293	SMG6
ENSG00000072310	6720	SREBF1
ENSG00000073331	80216	ALPK1
ENSG00000075884	55843	ARHGAP15
ENSG00000076984	5609	MAP2K7
ENSG00000077809	2969	GTF2I
ENSG00000078403	8028	MLLT10
ENSG00000079308	7145	TNS1
ENSG00000079313	57455	REXO1
ENSG00000079387	29843	SENP1
ENSG00000079459	2222	FDFT1
ENSG00000080824	3320	HSP90AA1
ENSG00000082438	22837	COBLL1
ENSG00000085788	23259	DDHD2
ENSG00000089597	23193	GANAB
ENSG00000092847	26523	AGO1
ENSG00000095203	54566	EPB41L4B
ENSG00000099889	421	ARVCF
ENSG00000099999	200312	RNF215
ENSG00000100078	50487	PLA2G3
ENSG00000100138	4809	NHP2L1
ENSG00000100319	55954	ZMAT5
ENSG00000100372	10478	SLC25A17
ENSG00000100711	79038	ZFYVE21
ENSG00000100784	9252	RPS6KA5
ENSG00000100883	6729	SRP54
ENSG00000102935	23090	ZNF423
ENSG00000103494	23322	RPGRIP1L
ENSG00000103544	57020	C16orf62
ENSG00000103550	400506	KNOP1
ENSG00000105088	93145	OLFM2
ENSG00000105662	23373	CRTC1
ENSG00000105726	57130	ATP13A1
ENSG00000106089	6804	STX1A
ENSG00000106536	11281	POU6F2
ENSG00000106771	23731	TMEM245
ENSG00000107859	5309	PITX3
ENSG00000107862	8729	GBF1
ENSG00000107954	9148	NEURL1
ENSG00000108239	23232	TBC1D12
ENSG00000108417	8688	KRT37
ENSG00000108509	23125	CAMTA2
ENSG00000111012	1594	CYP27B1
ENSG00000111424	7421	VDR
ENSG00000112246	6492	SIM1
ENSG00000112249	10973	ASCC3
ENSG00000113068	5201	PFDN1
ENSG00000113161	3156	HMGCR
ENSG00000113163	10087	COL4A3BP
ENSG00000113396	28965	SLC27A6
ENSG00000114353	2771	GNAI2
ENSG00000114439	56987	BBX
ENSG00000114739	93	ACVR2B
ENSG00000114854	7134	TNNC1
ENSG00000114867	1981	EIF4G1
ENSG00000114933	54891	INO80D
ENSG00000115252	5136	PDE1A
ENSG00000115520	80219	COQ10B
ENSG00000115524	23451	SF3B1
ENSG00000115540	25843	MOB4
ENSG00000115935	7456	WIPF1
ENSG00000116539	55870	ASH1L
ENSG00000116586	28956	LAMTOR2
ENSG00000116604	4209	MEF2D
ENSG00000116783	51086	TNNI3K
ENSG00000117569	58155	PTBP2
ENSG00000117601	462	SERPINC1
ENSG00000118260	1385	CREB1
ENSG00000118263	8609	KLF7
ENSG00000118292	79630	C1orf54
ENSG00000119414	5537	PPP6C
ENSG00000119599	26094	DCAF4
ENSG00000119969	3070	HELLS
ENSG00000120948	23435	TARDBP
ENSG00000122008	51426	POLK
ENSG00000124299	5184	PEPD
ENSG00000125459	55154	MSTO1
ENSG00000125510	4987	OPRL1
ENSG00000127152	64919	BCL11B
ENSG00000127445	5300	PIN1
ENSG00000128645	3231	HOXD1
ENSG00000128652	3232	HOXD3
ENSG00000128709	3235	HOXD9
ENSG00000128710	3236	HOXD10
ENSG00000129911	83855	KLF16
ENSG00000130518	80726	KIAA1683
ENSG00000130749	23211	ZC3H4
ENSG00000130940	54897	CASZ1
ENSG00000131323	7187	TRAF3
ENSG00000131351	93323	HAUS8
ENSG00000131473	47	ACLY
ENSG00000132003	65249	ZSWIM4
ENSG00000132718	23208	SYT11
ENSG00000133612	116988	AGAP3
ENSG00000133958	57578	UNC79
ENSG00000134243	6272	SORT1
ENSG00000134780	747	DAGLA
ENSG00000134871	1284	COL4A2
ENSG00000134917	11095	ADAMTS8
ENSG00000135213	100101267	POM121C
ENSG00000135272	29969	MDFIC
ENSG00000135472	23017	FAIM2
ENSG00000135870	149041	RC3H1
ENSG00000136379	58489	ABHD17C
ENSG00000136573	640	BLK
ENSG00000136574	2626	GATA4
ENSG00000136933	10244	RABEPK
ENSG00000136944	4010	LMX1B
ENSG00000137073	55833	UBAP2
ENSG00000137575	6386	SDCBP
ENSG00000137764	5607	MAP2K5
ENSG00000137860	9153	SLC28A2
ENSG00000138735	8654	PDE5A
ENSG00000139055	121506	ERP27
ENSG00000140044	122953	JDP2
ENSG00000140718	79068	FTO
ENSG00000141258	9905	SGSM2
ENSG00000141431	80816	ASXL3
ENSG00000141452	29919	C18orf8
ENSG00000141458	4864	NPC1
ENSG00000141564	57521	RPTOR
ENSG00000141570	57332	CBX8
ENSG00000141756	60681	FKBP10
ENSG00000142230	10055	SAE1
ENSG00000143028	284612	SYPL2
ENSG00000143106	5686	PSMA5
ENSG00000144381	3329	HSPD1
ENSG00000144401	151194	METTL21A
ENSG00000145194	9718	ECE2
ENSG00000145390	54532	USP53
ENSG00000145642	100132916	FAM159B
ENSG00000145700	256006	ANKRD31
ENSG00000145730	5066	PAM
ENSG00000146147	90523	MLIP
ENSG00000147548	54904	WHSC1L1
ENSG00000147854	115426	UHRF2
ENSG00000148943	55327	LIN7C
ENSG00000149489	6094	ROM1
ENSG00000149499	256364	EML3
ENSG00000151353	129787	TMEM18
ENSG00000152359	134359	POC5
ENSG00000152430	66037	BOLL
ENSG00000152556	5213	PFKM
ENSG00000153113	831	CAST
ENSG00000153885	79047	KCTD15
ENSG00000155093	5799	PTPRN2
ENSG00000156103	4325	MMP16
ENSG00000157036	9941	EXOG
ENSG00000157119	131377	KLHL40
ENSG00000157404	3815	KIT
ENSG00000158402	995	CDC25C
ENSG00000159208	148523	C1orf51
ENSG00000161203	1173	AP2M1
ENSG00000161204	55324	ABCF3
ENSG00000162194	79081	C11orf48
ENSG00000162650	127002	ATXN7L2
ENSG00000162670	339479	BRINP3
ENSG00000162944	130132	RFTN2
ENSG00000162971	129450	TYW5
ENSG00000163110	10611	PDLIM5
ENSG00000163346	57326	PBXIP1
ENSG00000163374	55249	YY1AP1
ENSG00000163431	25802	LMOD1
ENSG00000163462	80128	TRIM46
ENSG00000163463	200185	KRTCAP2
ENSG00000163618	8618	CADPS
ENSG00000164037	150159	SLC9B1
ENSG00000164093	5308	PITX2
ENSG00000164096	401152	C4orf3
ENSG00000164182	91942	NDUFAF2
ENSG00000164885	1020	CDK5
ENSG00000164889	6522	SLC4A2
ENSG00000165046	137994	LETM2
ENSG00000165995	783	CACNB2
ENSG00000166263	252983	STXBP4
ENSG00000166603	4160	MC4R
ENSG00000167083	2793	GNGT2
ENSG00000167191	51704	GPRC5B
ENSG00000167566	57701	NCKAP5L
ENSG00000167720	63826	SRR
ENSG00000167721	55720	TSR1
ENSG00000168214	3516	RBPJ
ENSG00000169231	7059	THBS3
ENSG00000169242	1942	EFNA1
ENSG00000169398	5747	PTK2
ENSG00000169851	5099	PCDH7
ENSG00000169955	65988	ZNF747
ENSG00000169957	79724	ZNF768
ENSG00000171174	64080	RBKS
ENSG00000171303	3777	KCNK3
ENSG00000171763	79029	SPATA5L1
ENSG00000171766	2628	GATM
ENSG00000171877	84978	FRMD5
ENSG00000172728	84750	FUT10
ENSG00000172789	3222	HOXC5
ENSG00000173852	23333	DPY19L1
ENSG00000174151	284613	CYB561D1
ENSG00000174482	158038	LINGO2
ENSG00000174628	124152	IQCK
ENSG00000175161	253559	CADM2
ENSG00000176697	627	BDNF
ENSG00000176723	283933	ZNF843
ENSG00000177666	57104	PNPLA2
ENSG00000177830	66005	CHID1
ENSG00000178502	55175	KLHL11
ENSG00000178636	NA	RP11-455G16.1
ENSG00000178965	127254	C1orf173
ENSG00000179088	374470	C12orf42
ENSG00000179564	132228	LSMEM2
ENSG00000179915	9378	NRXN1
ENSG00000180269	124274	GPR139
ENSG00000180806	3225	HOXC9
ENSG00000181754	57463	AMIGO1
ENSG00000183454	2903	GRIN2A
ENSG00000183671	2825	GPR1
ENSG00000184208	79640	C22orf46
ENSG00000184349	1946	EFNA5
ENSG00000184608	83656	C8orf12
ENSG00000184708	56478	EIF4ENIF1
ENSG00000185046	56899	ANKS1B
ENSG00000185053	137868	SGCZ
ENSG00000185278	84614	ZBTB37
ENSG00000185305	54622	ARL15
ENSG00000185352	266722	HS6ST3
ENSG00000185499	4582	MUC1
ENSG00000185614	389119	FAM212A
ENSG00000185721	4733	DRG1
ENSG00000186487	23040	MYT1L
ENSG00000187486	3767	KCNJ11
ENSG00000188107	346007	EYS
ENSG00000188779	390598	SKOR1
ENSG00000189045	728780	ANKDD1B
ENSG00000189056	5649	RELN
ENSG00000196353	131034	CPNE4
ENSG00000196428	9819	TSC22D2
ENSG00000196588	57591	MKL1
ENSG00000196639	3269	HRH1
ENSG00000197102	1778	DYNC1H1
ENSG00000197157	27044	SND1
ENSG00000197548	10533	ATG7
ENSG00000197757	3223	HOXC6
ENSG00000197852	55924	FAM212B
ENSG00000198353	3221	HOXC4
ENSG00000198700	55705	IPO9
ENSG00000198911	6721	SREBF2
ENSG00000204922	790955	C11orf83
ENSG00000205189	65986	ZBTB10
ENSG00000205683	8110	DPF3
ENSG00000205821	NA	AC006435.1
ENSG00000214706	7866	IFRD2
ENSG00000214753	221092	HNRNPUL2
ENSG00000215305	64601	VPS16
ENSG00000215346	NA	AF131215.5
ENSG00000221986	343263	MYBPHL
ENSG00000222011	222234	FAM185A
ENSG00000222017	NA	AC011997.1
ENSG00000225940	101928448	AC022431.2
ENSG00000232748	79759	ZNF668
ENSG00000234857	100534595	HNRNPUL2-BSCL2
ENSG00000237435	102723661	RP11-147C23.1
ENSG00000240184	5098	PCDHGC3
ENSG00000240764	56097	PCDHGC5
ENSG00000242419	56098	PCDHGC4
ENSG00000243147	9553	MRPL33
ENSG00000243566	105375355	UPK3B
ENSG00000244405	2119	ETV5
ENSG00000247596	11344	TWF2
ENSG00000253159	26025	PCDHGA12
ENSG00000253305	56100	PCDHGB6
ENSG00000253485	56110	PCDHGA5
ENSG00000253537	56108	PCDHGA7
ENSG00000253731	56109	PCDHGA6
ENSG00000253767	9708	PCDHGA8
ENSG00000253846	56106	PCDHGA10
ENSG00000253873	56105	PCDHGA11
ENSG00000253910	56103	PCDHGB2
ENSG00000253953	8641	PCDHGB4
ENSG00000254122	56099	PCDHGB7
ENSG00000255046	NA	RP11-297N6.4
ENSG00000255284	171391	AP006621.5
ENSG00000255432	NA	RP11-831H9.11
ENSG00000259030	100526835	FPGT-TNNI3K
ENSG00000259471	102723165	RP11-321F6.1
ENSG00000261459	65988	ZNF747
ENSG00000261732	NA	LA16c-431H6.6
ENSG00000261934	56107	PCDHGA9
ENSG00000262209	56102	PCDHGB3
